Source: (1.00, 1.00, -14.00), Receiver: (19.00, 1.00, -11.00), Reflection: 0, Hit: (0.68, 3.00, -13.52), Time: 0.0061s, Energy: 0.80
Source: (1.00, 1.00, -14.00), Receiver: (19.00, 1.00, -11.00), Reflection: 1, Hit: (0.20, 0.00, -12.80), Time: 0.0152s, Energy: 0.16
Source: (1.00, 1.00, -14.00), Receiver: (19.00, 1.00, -11.00), Reflection: 0, Hit: (1.72, 2.70, -10.05), Time: 0.0127s, Energy: 0.15
Source: (1.00, 1.00, -14.00), Receiver: (19.00, 1.00, -11.00), Reflection: 1, Hit: (-0.48, 0.00, -10.20), Time: 0.0229s, Energy: 0.03
Source: (1.00, 1.00, -14.00), Receiver: (19.00, 1.00, -11.00), Reflection: 0, Hit: (0.77, 0.00, -14.14), Time: 0.0030s, Energy: 0.20
Source: (1.00, 1.00, -14.00), Receiver: (0.00, 1.00, 0.00), Reflection: 0, Hit: (0.24, 3.00, -13.24), Time: 0.0066s, Energy: 0.80
Source: (1.00, 1.00, -14.00), Receiver: (0.00, 1.00, 0.00), Reflection: 1, Hit: (-0.90, 0.00, -12.11), Time: 0.0165s, Energy: 0.16
Source: (1.00, 1.00, -14.00), Receiver: (0.00, 1.00, 0.00), Reflection: 0, Hit: (0.66, 1.91, -19.95), Time: 0.0176s, Energy: 0.15
Source: (1.00, 1.00, -14.00), Receiver: (0.00, 1.00, 0.00), Reflection: 1, Hit: (1.14, 0.00, -18.57), Time: 0.0246s, Energy: 0.03
Source: (1.00, 1.00, -14.00), Receiver: (0.00, 1.00, 0.00), Reflection: 0, Hit: (4.95, 2.82, -13.21), Time: 0.0129s, Energy: 0.15
Source: (1.00, 1.00, -14.00), Receiver: (0.00, 1.00, 0.00), Reflection: 0, Hit: (-4.95, 1.03, -16.50), Time: 0.0188s, Energy: 0.15
Source: (1.00, 1.00, -14.00), Receiver: (0.00, 1.00, 0.00), Reflection: 0, Hit: (0.71, 0.00, -13.05), Time: 0.0041s, Energy: 0.20
Source: (1.00, 1.00, -14.00), Receiver: (15.00, 1.00, -15.00), Reflection: 0, Hit: (0.19, 0.00, -15.95), Time: 0.0068s, Energy: 0.20
Source: (1.00, 1.00, -14.00), Receiver: (15.00, 1.00, -15.00), Reflection: 0, Hit: (1.27, 0.00, -13.31), Time: 0.0036s, Energy: 0.20
Source: (1.00, 1.00, -14.00), Receiver: (15.00, 1.00, -15.00), Reflection: 0, Hit: (0.03, 3.00, -10.60), Time: 0.0118s, Energy: 0.80
Source: (1.00, 1.00, -14.00), Receiver: (15.00, 1.00, -15.00), Reflection: 1, Hit: (-0.12, 2.68, -10.05), Time: 0.0138s, Energy: 0.12
Source: (1.00, 1.00, -14.00), Receiver: (15.00, 1.00, -15.00), Reflection: 2, Hit: (-0.12, 2.68, -10.05), Time: 0.0138s, Energy: 0.02
Source: (1.00, 1.00, -14.00), Receiver: (15.00, 1.00, -15.00), Reflection: 0, Hit: (-4.95, 0.43, -11.57), Time: 0.0188s, Energy: 0.15
Source: (1.00, 1.00, -14.00), Receiver: (15.00, 1.00, -15.00), Reflection: 0, Hit: (1.65, 3.00, -16.56), Time: 0.0097s, Energy: 0.80
Source: (1.00, 1.00, -14.00), Receiver: (15.00, 1.00, -15.00), Reflection: 1, Hit: (2.52, 0.35, -19.95), Time: 0.0225s, Energy: 0.12
Source: (1.00, 1.00, -14.00), Receiver: (15.00, 1.00, -15.00), Reflection: 2, Hit: (3.18, 0.00, -19.79), Time: 0.0247s, Energy: 0.02
Source: (1.00, 1.00, -14.00), Receiver: (15.00, 1.00, -15.00), Reflection: 3, Hit: (0.05, 3.00, -19.62), Time: 0.0373s, Energy: 0.02
Source: (1.00, 1.00, -14.00), Receiver: (11.00, 1.00, -4.00), Reflection: 0, Hit: (-0.20, 3.00, -16.88), Time: 0.0108s, Energy: 0.80
Source: (1.00, 1.00, -14.00), Receiver: (11.00, 1.00, -4.00), Reflection: 1, Hit: (-1.47, 0.87, -19.95), Time: 0.0223s, Energy: 0.12
Source: (1.00, 1.00, -14.00), Receiver: (11.00, 1.00, -4.00), Reflection: 2, Hit: (-1.33, 0.00, -19.15), Time: 0.0258s, Energy: 0.02
Source: (1.00, 1.00, -14.00), Receiver: (11.00, 1.00, -4.00), Reflection: 0, Hit: (2.05, 1.70, -10.05), Time: 0.0121s, Energy: 0.15
Source: (1.00, 1.00, -14.00), Receiver: (11.00, 1.00, -4.00), Reflection: 0, Hit: (3.01, 0.00, -13.51), Time: 0.0067s, Energy: 0.20
Source: (1.00, 1.00, -14.00), Receiver: (11.00, 1.00, -4.00), Reflection: 0, Hit: (-0.41, 0.00, -14.43), Time: 0.0052s, Energy: 0.20
Source: (1.00, 1.00, -14.00), Receiver: (11.00, 1.00, -4.00), Reflection: 0, Hit: (0.84, 0.00, -13.71), Time: 0.0031s, Energy: 0.20
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, -19.00), Reflection: 0, Hit: (4.95, 0.98, -11.04), Time: 0.0144s, Energy: 0.15
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, -19.00), Reflection: 0, Hit: (3.61, 3.00, -17.33), Time: 0.0136s, Energy: 0.80
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, -19.00), Reflection: 1, Hit: (4.95, 1.97, -19.04), Time: 0.0207s, Energy: 0.12
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, -19.00), Reflection: 0, Hit: (-1.83, 3.00, -18.72), Time: 0.0171s, Energy: 0.80
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, -19.00), Reflection: 1, Hit: (-2.57, 2.48, -19.95), Time: 0.0215s, Energy: 0.12
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, -19.00), Reflection: 0, Hit: (-1.80, 3.00, -14.53), Time: 0.0102s, Energy: 0.80
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, -19.00), Reflection: 1, Hit: (-4.95, 0.75, -15.13), Time: 0.0216s, Energy: 0.12
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, -19.00), Reflection: 0, Hit: (2.77, 3.00, -14.16), Time: 0.0078s, Energy: 0.80
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, -19.00), Reflection: 1, Hit: (4.95, 0.55, -14.37), Time: 0.0174s, Energy: 0.12
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, -19.00), Reflection: 2, Hit: (4.95, 0.55, -14.37), Time: 0.0174s, Energy: 0.02
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, -11.00), Reflection: 0, Hit: (0.46, 0.00, -13.51), Time: 0.0036s, Energy: 0.20
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, -11.00), Reflection: 0, Hit: (2.57, 3.00, -18.29), Time: 0.0145s, Energy: 0.80
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, -11.00), Reflection: 1, Hit: (3.18, 2.22, -19.95), Time: 0.0202s, Energy: 0.12
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, -11.00), Reflection: 0, Hit: (-0.14, 0.00, -14.45), Time: 0.0046s, Energy: 0.20
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, -11.00), Reflection: 0, Hit: (0.48, 0.00, -13.95), Time: 0.0033s, Energy: 0.20
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, -11.00), Reflection: 0, Hit: (-0.23, 3.00, -17.99), Time: 0.0135s, Energy: 0.80
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, -11.00), Reflection: 1, Hit: (-0.84, 2.02, -19.95), Time: 0.0201s, Energy: 0.12
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, -11.00), Reflection: 2, Hit: (0.88, 0.00, -19.78), Time: 0.0279s, Energy: 0.02
Source: (1.00, 1.00, -14.00), Receiver: (11.00, 1.00, -19.00), Reflection: 0, Hit: (0.79, 0.00, -13.98), Time: 0.0030s, Energy: 0.20
Source: (1.00, 1.00, -14.00), Receiver: (11.00, 1.00, -19.00), Reflection: 0, Hit: (1.34, 0.00, -13.48), Time: 0.0034s, Energy: 0.20
Source: (1.00, 1.00, -14.00), Receiver: (11.00, 1.00, -19.00), Reflection: 0, Hit: (2.68, 3.00, -15.60), Time: 0.0089s, Energy: 0.80
Source: (1.00, 1.00, -14.00), Receiver: (11.00, 1.00, -19.00), Reflection: 1, Hit: (4.95, 0.29, -17.77), Time: 0.0210s, Energy: 0.12
Source: (1.00, 1.00, -14.00), Receiver: (11.00, 1.00, -19.00), Reflection: 2, Hit: (3.81, 3.00, -13.99), Time: 0.0350s, Energy: 0.10
Source: (1.00, 1.00, -14.00), Receiver: (11.00, 1.00, -19.00), Reflection: 3, Hit: (2.61, 0.17, -10.05), Time: 0.0496s, Energy: 0.01
Source: (1.00, 1.00, -14.00), Receiver: (11.00, 1.00, -19.00), Reflection: 0, Hit: (4.95, 1.83, -16.29), Time: 0.0135s, Energy: 0.15
Source: (1.00, 1.00, -14.00), Receiver: (11.00, 1.00, -19.00), Reflection: 0, Hit: (4.95, 0.09, -15.28), Time: 0.0124s, Energy: 0.15
Source: (1.00, 1.00, -14.00), Receiver: (11.00, 1.00, -19.00), Reflection: 1, Hit: (4.40, 0.00, -14.18), Time: 0.0160s, Energy: 0.03
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, 4.00), Reflection: 0, Hit: (-2.83, 0.00, -14.94), Time: 0.0119s, Energy: 0.20
